name,latitude_deg,longitude_deg
Gombe Lawanti International Airport,10.298889,10.9
Gusau Airport,12.17286,6.696136
Ibadan Airport,7.362460136413574,3.97832989692688
General Tunde Idiagbon International Airport,8.44021,4.49392
Sam Mbakwe International Cargo Airport,5.42706,7.20603
Yakubu Gowon Airport,9.639829635620117,8.869050025939941
Kaduna International Airport,10.696,7.32011
Mallam Aminu Kano International Airport,12.045613,8.523566
Maiduguri International Airport,11.854163,13.080702
Makurdi Airport,7.70388,8.61394
Murtala Muhammed International Airport,6.57737,3.32116
Minna Airport,9.652170181274414,6.462259769439697
Port Harcourt International Airport,5.01549,6.94959
Sadiq Abubakar III International Airport,12.915729,5.207547
Warri Airport,5.59821,5.8187
Yola Airport,9.257550239562988,12.430399894714355
Zaria Airport,11.1302,7.68581
Maradi Airport,13.5025,7.12675
Diori Hamani International Airport,13.4815,2.18361
Tahoua Airport,14.8757,5.26536
Mano Dayak International Airport,16.966,8.00011
Zinder Airport,13.779000282287598,8.983759880065918
Tabarka-Aïn Draham International Airport,36.98,8.87694
Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125
Enfidha - Hammamet International Airport,36.075833,10.438611
Tunis Carthage International Airport,36.851002,10.2272
Bizerte Sidi Ahmed Air Base,37.242356,9.787016
Remada Air Base,32.306198,10.3821
Gafsa Ksar International Airport,34.422000885009766,8.822500228881836
Gabès Matmata International Airport,33.733691,9.91941
Djerba Zarzis International Airport,33.873719,10.7773
El Borma Airport,31.7043,9.25462
Sfax Thyna International Airport,34.717999,10.691
Tozeur Nefta International Airport,33.939701080322266,8.110560417175293
Niamtougou International Airport,9.766675,1.090944
Lomé–Tokoin International Airport,6.16561,1.25451
Amguid Regional Airport,26.393417,5.325419
Antwerp International Airport (Deurne),51.190667,4.463153
Beauvechain Air Base,50.758598,4.76833
Kleine Brogel Air Base,51.168301,5.47
Brussels Airport,50.901402,4.48444
Brussels South Charleroi Airport,50.461963,4.459562
Chièvres Air Base,50.575801849365234,3.8310000896453857
Koksijde Air Base,51.090302,2.65278
Florennes Air Base,50.2433013916,4.64583015442
Flanders International Airport Kortrijk-Wevelgem,50.818878,3.209551
Liège Airport,50.638574,5.443897
Ostend-Bruges International Airport,51.1998,2.874673
Leipzig–Altenburg Airport,50.981945,12.506389
Heringsdorf Airport,53.8787,14.1523
Neubrandenburg Trollenhagen Airport,53.6022,13.306
Rothenburg/Görlitz Airfield,51.363335,14.95
Berlin Brandenburg Airport,52.361738,13.502341
Dresden Airport,51.134123,13.767831
Erfurt-Weimar Airport,50.978281,10.960713
Frankfurt Main Airport,50.026706,8.55835
Münster Osnabrück Airport,52.133816,7.688482
Hamburg Helmut Schmidt Airport,53.630402,9.98823
Cologne Bonn Airport,50.865898,7.14274
Düsseldorf Airport,51.289501,6.76678
Munich Airport,48.353802,11.7861
Nuremberg Airport,49.498699,11.078056
Leipzig/Halle Airport,51.420657,12.232705
Saarbrücken Airport,49.217562,7.111667
Stuttgart Airport,48.689899,9.22196
Hannover Airport,52.461102,9.68508
Bremen Airport,53.046786,8.78932
Frankfurt-Egelsbach Airport,49.96,8.643043
Frankfurt-Hahn Airport,49.946353,7.261734
Mannheim-City Airport,49.473057,8.514167
Mainz-Finthen Airfield,49.967499,8.147222
Eisenach-Kindel Airport,50.991604,10.47973
Siegerland Airport,50.707699,8.08297
Hamburg-Finkenwerder Airport,53.5352783203125,9.835556030273438
Kiel-Holtenau Airport,54.37957,10.145266
Lübeck Blankensee Airport,53.805401,10.7192
Memmingen Allgau Airport,47.988092,10.238248
Bielefeld Airport,51.964722,8.544444
Mönchengladbach Airport,51.230278,6.504444
Paderborn Lippstadt Airport,51.612527,8.617459
Weeze (Niederrhein) Airport,51.601362,6.141228
Dortmund Airport,51.518299,7.61224
Augsburg Airport,48.425278,10.931667
Landshut Airfield,48.512019,12.034865
